Quicksort
Array Length,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10
350,0.0361,0.0367,0.0353,0.036,0.0473,0.041,0.0398,0.0366,0.0353,0.0358,
360,0.0374,0.0366,0.0381,0.0356,0.0352,0.0363,0.0368,0.0365,0.0351,0.0371,
370,0.0397,0.0402,0.0402,0.0409,0.0431,0.0398,0.0398,0.0398,0.039,0.0395,
380,0.0501,0.0428,0.0436,0.0425,0.0427,0.0468,0.0433,0.0429,0.0431,0.042,
390,0.0458,0.0461,0.0455,0.0463,0.0464,0.0484,0.0456,0.0499,0.0463,0.0449,
400,0.0477,0.0466,0.0531,0.0479,0.0484,0.049,0.0507,0.0502,0.0504,0.0497,
410,0.0528,0.0527,0.0528,0.0527,0.055,0.0513,0.0518,0.0517,0.052,0.0512,
420,0.0534,0.07,0.0574,0.0532,0.0532,0.0523,0.0515,0.0519,0.0519,0.0514,
430,0.058,0.0629,0.0587,0.058,0.059,0.0578,0.0578,0.0599,0.0684,0.0582,
440,0.061,0.0611,0.0647,0.0623,0.0639,0.0634,0.0623,0.059,0.061,0.0599,
450,0.0695,0.0624,0.0622,0.0715,0.0637,0.0649,0.0626,0.065,0.0628,0.0691,
460,0.07,0.0699,0.0689,0.0678,0.0684,0.0688,0.0682,0.0687,0.0748,0.0692,
470,0.0734,0.073,0.0743,0.0793,0.0703,0.0753,0.0728,0.0706,0.0718,0.0712,
480,0.072,0.0778,0.0787,0.0681,0.0718,0.0738,0.0705,0.0713,0.0699,0.0695,
490,0.0806,0.0803,0.0807,0.0803,0.086,0.0801,0.081,0.0847,0.0781,0.0787,
500,0.0821,0.0804,0.0785,0.0783,0.08,0.0819,0.1107,0.0865,0.0918,0.0843,
510,0.0895,0.0923,0.0928,0.0896,0.0917,0.0875,0.0874,0.0891,0.0867,0.101,
520,0.0947,0.0928,0.0921,0.09,0.097,0.0895,0.0909,0.0885,0.0872,0.0865,
530,0.0996,0.0952,0.0927,0.0953,0.0964,0.0993,0.0993,0.0969,0.0972,0.1011,
540,0.1063,0.1012,0.1041,0.0992,0.0944,0.0917,0.0935,0.0946,0.0904,0.0942,
550,0.1023,0.097,0.097,0.1017,0.0981,0.0983,0.0994,0.0996,0.0949,0.1028,
560,0.1054,0.1014,0.1021,0.1029,0.0981,0.1013,0.1025,0.0991,0.0981,0.1027,
570,0.1169,0.1076,0.106,0.107,0.1167,0.1084,0.1098,0.1096,0.1124,0.1049,
580,0.1161,0.1112,0.1124,0.1147,0.1127,0.1141,0.1136,0.1168,0.115,0.1116,
590,0.1077,0.1093,0.1059,0.1071,0.1136,0.107,0.1159,0.1047,0.1058,0.1071,
600,0.12,0.1187,0.1158,0.1206,0.1168,0.1212,0.1219,0.1188,0.1167,0.117,
610,0.1211,0.1223,0.1187,0.1241,0.1216,0.1216,0.1189,0.1197,0.1195,0.122,
620,0.137,0.1381,0.1287,0.1341,0.1312,0.1286,0.1321,0.1297,0.1368,0.1369,
630,0.1318,0.1305,0.1304,0.1355,0.1285,0.1309,0.1339,0.1293,0.1298,0.1311,
640,0.1425,0.1407,0.1424,0.1684,0.1578,0.1549,0.1535,0.145,0.1511,0.1449,
650,0.1507,0.1427,0.1427,0.145,0.1458,0.1497,0.1481,0.1424,0.1488,0.1448,
660,0.1451,0.1484,0.159,0.1488,0.155,0.1486,0.149,0.1535,0.1625,0.17,
670,0.1637,0.3239,0.3175,0.3063,0.3193,0.2897,0.2861,0.3082,0.2882,0.2839,
680,0.2975,0.3005,0.304,0.3019,0.3054,0.2975,0.31,0.3031,0.2954,0.2984,
690,0.323,0.3291,0.3927,0.344,0.6194,0.349,0.3439,0.3542,0.3396,0.3446,
